BFS;FREQUENCY;SUM_Shape_Length
575;34;5559.071434
576;204;22316.17364
577;34;4563.345937
578;29;2620.234698
580;6;1338.24048
581;137;9403.540625
582;46;6912.355707
585;64;6633.58701
586;23;3422.017385
587;58;3981.638429
590;1;76.443971
592;1;498.297033
593;182;16751.84907
594;72;4866.69572
602;29;3533.201296
603;29;3704.161025
605;55;6763.06094
606;10;1254.927373
607;13;1496.368123
608;17;1691.643207
610;11;755.369769
611;48;3961.695813
612;81;9063.151489
615;8;1104.61178
616;156;13678.7589
617;16;2652.220826
619;46;4215.805574
620;45;7483.485073
622;10;1686.794691
623;75;4883.871008
626;104;12505.85601
627;114;11915.86434
628;27;2345.393781
630;31;3296.891495
632;32;4335.818829
662;39;4865.700459
663;46;4830.333634
666;14;1860.419738
667;76;6542.337852
668;48;6134.014238
669;21;2428.270901
670;152;17655.89559
671;46;3718.468337
681;8;1210.143448
690;26;3234.451787
691;22;3636.547758
692;4;429.661804
694;12;1576.550419
696;15;1035.564298
700;119;10654.37576
701;40;5816.103889
703;37;2723.233585
704;12;2418.993666
706;40;6589.557681
711;13;2009.901843
713;63;6419.458802
716;71;18333.08518
717;49;4252.867028
723;11;976.97194
731;22;3309.317065
732;1;376.46543
733;54;4448.667606
736;38;3549.154604
739;27;2187.717693
742;24;2493.015422
743;64;4084.331336
744;50;3200.096248
745;31;2275.854747
746;5;803.34917
747;30;2424.417583
748;26;3289.32869
749;34;1955.477863
750;39;2794.050605
751;16;2850.453714
754;15;2500.088905
755;24;1438.048306
756;8;3316.792528
761;29;3596.224716
762;41;8290.476795
763;34;4448.48757
766;32;5774.697287
767;44;4456.243257
768;112;13448.31343
769;91;10355.07393
770;61;8767.744074
782;111;22223.56113
783;37;4516.692992
784;66;11031.92626
785;178;22770.03051
786;113;12321.40609
791;55;8339.522963
794;85;11044.76347
841;73;9306.078025
842;2;318.821162
843;296;33702.56884
852;79;11637.14802
853;93;10712.2267
855;182;24282.32526
861;172;21267.67847
863;44;6014.350616
866;97;12026.31141
867;54;5836.975925
869;26;1923.577461
870;50;5204.491315
872;97;12186.85978
877;34;5764.482541
879;150;18944.51076
880;128;19150.18641
883;32;2660.581514
884;44;3418.450121
885;35;2613.185685
886;141;10263.75321
888;36;5153.074474
889;33;3874.707341
901;21;4881.742976
902;209;29148.17214
903;46;5185.601495
904;93;16480.30479
905;46;5531.042817
906;109;13735.71563
907;96;11086.0814
908;22;5821.000655
909;128;19556.36308
