GMDNR,GMDNAME_x,Stimmberechtigte,Abgegebene Stimmen,Beteiligung in %,Gültige Stimmzettel,Ja,Nein,Ja in %,GMDNAME_y,BZNR,KTNR,geometry
5521,Etagnières,691,262,37.92,260,217,43,83.46,Etagnières,2223,22,"POLYGON ((2537765 1161680, 2537563 1161129, 2537340 1160809, 2537082 1160847, 2536799 1160289, 2535935 1160432, 2535328 1160929, 2535468 1161208, 2535493 1161748, 2535277 1161952, 2535424 1162533, 2536655 1162513, 2536762 1162238, 2537765 1161680))"
5522,Fey,471,193,40.98,190,160,30,84.21,Fey,2223,22,"POLYGON ((2542830 1170710, 2543845 1169491, 2543698 1169370, 2543140 1168733, 2542645 1168235, 2542498 1167728, 2542224 1167650, 2541400 1168288, 2540923 1168248, 2540935 1167928, 2540555 1167613, 2540105 1168025, 2541081 1169812, 2540810 1169750, 2541125 1170373, 2541108 1170760, 2541413 1170763, 2542310 1171318, 2542830 1170710))"
5523,Froideville,1583,628,39.67,620,502,118,80.97,Froideville,2223,22,"POLYGON ((2540815 1161355, 2541456 1162384, 2541850 1162619, 2542187 1162559, 2542149 1162403, 2542454 1162203, 2542530 1162403, 2542904 1162327, 2543038 1162473, 2543823 1161980, 2543770 1161738, 2544327 1161248, 2544246 1161075, 2544159 1160573, 2543878 1159168, 2543405 1159140, 2542028 1160323, 2541953 1160825, 2541353 1160650, 2541314 1160943, 2540985 1160955, 2540815 1161355))"
5527,Morrens (VD),728,275,37.77,272,237,35,87.13,Morrens (VD),2223,22,"POLYGON ((2538900 1160225, 2538478 1160077, 2537935 1158955, 2536972 1159245, 2536799 1160289, 2537082 1160847, 2537340 1160809, 2537563 1161129, 2537765 1161680, 2538071 1162362, 2538703 1162201, 2538315 1161425, 2538305 1160865, 2538900 1160225))"
5529,Oulens-sous-Echallens,403,174,43.18,173,140,33,80.92,Oulens-sous-Echallens,2223,22,"POLYGON ((2533221 1164960, 2532804 1165309, 2532862 1165647, 2532427 1165796, 2532625 1166281, 2532483 1166618, 2532463 1167052, 2533027 1167358, 2533192 1167983, 2533555 1168257, 2533883 1167780, 2533936 1168196, 2534253 1168225, 2534533 1167940, 2534540 1167433, 2534835 1167175, 2534635 1166395, 2534825 1166155, 2534640 1165645, 2534813 1165513, 2534493 1164803, 2534006 1165240, 2533646 1165267, 2533221 1164960))"
5530,Pailly,371,174,46.9,171,136,35,79.53,Pailly,2223,22,"POLYGON ((2540373 1172503, 2540590 1173503, 2540965 1173845, 2541538 1173659, 2541684 1173783, 2542495 1173305, 2542888 1172803, 2542310 1171318, 2541413 1170763, 2541108 1170760, 2540203 1171525, 2540413 1171963, 2540373 1172503))"
5531,Penthéréaz,306,114,37.25,113,96,17,84.96,Penthéréaz,2223,22,"POLYGON ((2534698 1170393, 2534988 1170700, 2534805 1171368, 2535048 1171572, 2535284 1171289, 2535689 1171407, 2536336 1171268, 2536725 1171613, 2537163 1171540, 2537245 1171795, 2537705.0001000017 1171918, 2537875 1171828, 2537869 1171338, 2537723 1170543, 2537248 1169569, 2536243 1169390, 2536243 1169133, 2535348 1169353, 2534769 1170190, 2534698 1170393))"
5533,Poliez-Pittet,556,204,36.69,201,166,35,82.59,Poliez-Pittet,2223,22,"POLYGON ((2542530 1162403, 2542523 1162866, 2541514 1163456, 2541617 1163994, 2541365 1164243, 2541191 1164554, 2541372 1164762, 2541282 1164968, 2541880 1165514, 2543168 1164930, 2543073 1164753, 2543358 1164680, 2543595 1163675, 2543445 1163355, 2543525 1162875, 2543950 1162373, 2543823 1161980, 2543038 1162473, 2542904 1162327, 2542530 1162403))"
5534,Rueyres,166,88,53.01,84,73,11,86.9,Rueyres,2223,22,"POLYGON ((2542830 1170710, 2542310 1171318, 2542888 1172803, 2543225 1173725, 2543465 1173528, 2543513 1172933, 2543453 1172616, 2543652 1172462, 2543537 1171784, 2542830 1170710))"
5535,Saint-Barthélemy (VD),522,189,36.21,183,158,25,86.34,Saint-Barthélemy (VD),2223,22,"POLYGON ((2536893 1164345, 2536687 1164009, 2536487 1164196, 2536619 1164471, 2536163 1164597, 2536074 1164416, 2535614 1164415, 2535427 1164026, 2534993 1164258, 2534490 1164534, 2534493 1164803, 2534813 1165513, 2535051 1165716, 2535259 1165585, 2535384 1166010, 2535570 1165962, 2535618 1166172, 2535833 1166064, 2536005 1166338, 2536815 1166115, 2537329 1165781, 2536893 1164345))"
5537,Villars-le-Terroir,789,291,36.88,285,228,57,80,Villars-le-Terroir,2223,22,"POLYGON ((2540123 1166605, 2540024 1166444, 2539909 1166647, 2539447 1166433, 2538862 1166854, 2538706 1166453, 2538692 1166718, 2538324 1166921, 2538157 1166551, 2537655 1166708, 2538050 1167761, 2537577 1167909, 2538163 1168353, 2538368 1168829, 2537907 1169101, 2537813 1168988, 2537675 1169263, 2537504 1169161, 2537248 1169569, 2537723 1170543, 2538034 1170461, 2537939 1169704, 2538291 1169629, 2538225 1169460, 2538434 1169508, 2538421 1169203, 2539023 1169173, 2539007 1168848, 2539565 1168839, 2539653 1169271, 2540037 1169209, 2540810 1169750, 2541081 1169812, 2540105 1168025, 2540555 1167613, 2540283 1167243, 2540359 1166808, 2540123 1166605))"
5539,Vuarrens,608,204,33.55,202,168,34,83.17,Vuarrens,2223,22,"POLYGON ((2540373 1172503, 2540413 1171963, 2540203 1171525, 2541108 1170760, 2541125 1170373, 2540810 1169750, 2540037 1169209, 2539653 1169271, 2539565 1168839, 2539007 1168848, 2539023 1169173, 2538421 1169203, 2538434 1169508, 2538225 1169460, 2538291 1169629, 2537939 1169704, 2538034 1170461, 2537723 1170543, 2537869 1171338, 2538068 1171355, 2538324 1172488, 2538555 1172490, 2538713 1172935, 2539120 1172488, 2539220 1172913, 2539450 1172501, 2539935 1172758, 2540373 1172503))"
5540,Montilliez,1147,439,38.27,438,373,65,85.16,Montilliez,2223,22,"POLYGON ((2540123 1166605, 2540359 1166808, 2540283 1167243, 2540555 1167613, 2540935 1167928, 2540923 1168248, 2541400 1168288, 2542224 1167650, 2542498 1167728, 2542645 1168235, 2543140 1168733, 2543485 1168225, 2543469 1167617, 2544095 1167375, 2544123 1167140, 2543775 1166735, 2544055 1166305, 2543805 1165545, 2543295 1165075, 2543358 1164680, 2543073 1164753, 2543168 1164930, 2541880 1165514, 2541282 1164968, 2541372 1164762, 2541191 1164554, 2541365 1164243, 2541059 1163784, 2540759 1164267, 2540172 1164563, 2540104 1164382, 2539717 1164704, 2539789 1165088, 2539600 1165338, 2540428 1166443, 2540123 1166605))"
5541,Goumoëns,752,307,40.82,304,261,43,85.86,Goumoëns,2223,22,"POLYGON ((2534813 1165513, 2534640 1165645, 2534825 1166155, 2534635 1166395, 2534835 1167175, 2534540 1167433, 2534533 1167940, 2534253 1168225, 2534298 1168436, 2534495 1168405, 2534490 1168916, 2534887 1169494, 2534769 1170190, 2535348 1169353, 2536243 1169133, 2536243 1169390, 2537248 1169569, 2537504 1169161, 2537675 1169263, 2537813 1168988, 2537907 1169101, 2538368 1168829, 2538163 1168353, 2537577 1167909, 2538050 1167761, 2537655 1166708, 2537571 1166515, 2537248 1166898, 2536815 1166115, 2536005 1166338, 2535833 1166064, 2535618 1166172, 2535570 1165962, 2535384 1166010, 2535259 1165585, 2535051 1165716, 2534813 1165513))"
5661,Boulens,270,105,38.89,102,77,25,75.49,Boulens,2223,22,"POLYGON ((2544807 1171800, 2545137.1799999997 1171593.7250000015, 2545209.4662999995 1171151.5, 2545481.6050000004 1171006.9274999984, 2545643.1862000003 1170598.7199999988, 2545566.647500001 1170220.2774999999, 2545757.995000001 1170177.7562999986, 2545532.629999999 1169897.1136999987, 2545660.1950000003 1169824.8275000006, 2545894.0637000017 1170071.4525000006, 2545851.5425000004 1169854.5925000012, 2546204.4712999985 1169880.1050000004, 2546166.2025000006 1169663.245000001, 2545600.664999999 1169641.9849999994, 2545456.0912000015 1169157.2388000004, 2545251.9886999987 1169246.5337999985, 2545009.6149999984 1169072.1961999983, 2544911.816300001 1168612.9624999985, 2544325.0187 1168421.6162, 2544337.7749999985 1169123.2212000005, 2543955.0813000016 1169101.9611999989, 2543698 1169370, 2543845 1169491, 2544025 1169945, 2544325 1170135, 2544807 1171800))"
5680,Ogens,183,65,35.52,64,49,15,76.56,Ogens,2223,22,"POLYGON ((2544970 1172250, 2544545 1172405, 2544655 1173015, 2544229 1173360, 2544273 1174056, 2544955 1174415, 2545582 1174416, 2545666 1174576, 2545819 1174273, 2545696 1173767, 2546418 1173706, 2546387 1173352, 2546581 1173138, 2546340 1172730, 2545690 1172525, 2545498 1172138, 2545203 1172325, 2544970 1172250))"
5693,Montanaire,1800,707,39.28,700,567,133,81,Montanaire,2223,22,"POLYGON ((2547968 1167485, 2547425 1167545, 2546875 1168005, 2545195 1168213, 2544666 1167774, 2544738 1167598, 2544408 1167019, 2544123 1167140, 2544095 1167375, 2543469 1167617, 2543485 1168225, 2543140 1168733, 2543698 1169370, 2543955.0813000016 1169101.9611999989, 2544337.7749999985 1169123.2212000005, 2544325.0187 1168421.6162, 2544911.816300001 1168612.9624999985, 2545009.6149999984 1169072.1961999983, 2545251.9886999987 1169246.5337999985, 2545456.0912000015 1169157.2388000004, 2545600.664999999 1169641.9849999994, 2546166.2025000006 1169663.245000001, 2546204.4712999985 1169880.1050000004, 2545851.5425000004 1169854.5925000012, 2545894.0637000017 1170071.4525000006, 2545660.1950000003 1169824.8275000006, 2545532.629999999 1169897.1136999987, 2545757.995000001 1170177.7562999986, 2545566.647500001 1170220.2774999999, 2545643.1862000003 1170598.7199999988, 2545481.6050000004 1171006.9274999984, 2545209.4662999995 1171151.5, 2545137.1799999997 1171593.7250000015, 2544807 1171800, 2544970 1172250, 2545203 1172325, 2545498 1172138, 2545690 1172525, 2546340 1172730, 2546581 1173138, 2546387 1173352, 2546418 1173706, 2545696 1173767, 2545819 1174273, 2546058 1174688, 2545955 1175382, 2546162 1175241, 2546165 1175522, 2546561 1175639, 2547000 1176315, 2547258 1175856, 2547492 1175458, 2548051 1175109, 2548013 1174758, 2548305 1174240, 2548938 1174605, 2549453 1175205, 2549463 1175590, 2550000 1176240, 2550702 1176261, 2550300 1175402, 2550643 1175132, 2551655 1175285, 2549953 1173205, 2549964 1172720, 2550497 1172401, 2550993 1172848, 2551213 1172575, 2551674 1172415, 2551403 1172133, 2551545 1171945, 2550522 1170818, 2550503 1171018, 2549818 1171073, 2549532 1171380, 2549313 1170975, 2549444 1170310, 2548398 1169572, 2548118 1169864, 2547233 1169648, 2547225 1169257, 2547819 1168852, 2547735 1168562, 2548201 1168239, 2548074 1167778, 2548221 1167539, 2547968 1167485))"
5804,Jorat-Menthue,1042,408,39.16,399,306,93,76.69,Jorat-Menthue,2223,22,"POLYGON ((2543823 1161980, 2543950 1162373, 2543525 1162875, 2543445 1163355, 2543595 1163675, 2543358 1164680, 2543295 1165075, 2543805 1165545, 2544055 1166305, 2543775 1166735, 2544123 1167140, 2544408 1167019, 2544738 1167598, 2544666 1167774, 2545195 1168213, 2546875 1168005, 2547425 1167545, 2547968 1167485, 2548178 1166990, 2547945 1166675, 2547573 1166690, 2546855 1165635, 2546581 1165606, 2546375 1163858, 2545603 1162645, 2545373 1162667, 2545160 1162306, 2544630 1162034, 2544517.5436999984 1161105.1750000007, 2544246 1161075, 2544327 1161248, 2543770 1161738, 2543823 1161980))"
5923,Oppens,120,55,45.83,55,38,17,69.09,Oppens,2223,22,"POLYGON ((2544229 1173360, 2543945 1172822, 2543513 1172933, 2543465 1173528, 2543225 1173725, 2542888 1172803, 2542495 1173305, 2541684 1173783, 2542426 1174469, 2542771 1175180, 2543773 1175555, 2543588 1174575, 2544273 1174056, 2544229 1173360))"
5551,Bonvillars,366,160,43.72,158,137,21,86.71,Bonvillars,2224,22,"POLYGON ((2540350 1188658, 2540506 1189124, 2540720 1189110, 2540577 1189900, 2540910 1190720, 2540344 1190475, 2540210 1191333, 2539680 1191400, 2539698 1191528, 2540538 1191579, 2540940 1191620, 2541608 1192038, 2542010 1191980, 2542135 1191398, 2542370 1191363, 2542399 1191248, 2541815 1191199, 2541911 1190865, 2541551 1190743, 2541783 1189640, 2542222 1188912, 2541824 1188454, 2542335 1187783, 2542195 1187404, 2542707 1186781, 2542384 1186183, 2541532 1186789, 2541238 1186560, 2540624 1187423, 2540761 1187502, 2540581 1187970, 2540751 1188282, 2540350 1188658))"
5552,Bullet,517,210,40.62,208,167,41,80.29,Bullet,2224,22,"POLYGON ((2534635 1190773, 2534533 1190330, 2534293 1190155, 2534345 1189923, 2534423 1189753, 2534718 1189920, 2535219 1189355, 2534838 1188875, 2535568 1188498, 2535253 1188105, 2534395 1187535, 2533490 1187113, 2533388 1186625, 2532820 1185772, 2532674 1185735, 2531682 1185476, 2530943 1186348, 2530854 1187195, 2530095 1187680, 2530413 1188891, 2531138 1189653, 2531391 1189435, 2532073 1189865, 2532213 1189725, 2534383 1191460, 2534808 1190983, 2534635 1190773))"
5553,Champagne,666,244,36.64,240,205,35,85.42,Champagne,2224,22,"POLYGON ((2539236 1186498, 2538950 1187378, 2538913 1187715, 2539085 1188007, 2539073 1188690, 2539910 1188789, 2540029 1188429, 2540350 1188658, 2540751 1188282, 2540581 1187970, 2540761 1187502, 2540624 1187423, 2541238 1186560, 2541255 1186315, 2540899 1186231, 2539745 1186625, 2539236 1186498))"
5554,Concise,639,276,43.19,272,221,51,81.25,Concise,2224,22,"POLYGON ((2548007 1191093, 2547754 1190564, 2546745 1189915, 2545985 1189145, 2544916 1188670, 2544178 1189918, 2543965 1189813, 2543700 1190229, 2543408 1191168, 2543118 1191185, 2542985 1191439, 2542370 1191363, 2542135 1191398, 2542010 1191980, 2542958 1192400, 2543653 1192688, 2544265 1192663, 2545438 1191595, 2546463 1192300, 2546706 1192269, 2546167 1191041, 2546732 1191449, 2547783 1191284, 2548007 1191093))"
5555,Corcelles-près-Concise,270,116,42.96,116,93,23,80.17,Corcelles-près-Concise,2224,22,"POLYGON ((2542399 1191248, 2542370 1191363, 2542985 1191439, 2543118 1191185, 2543408 1191168, 2543700 1190229, 2543965 1189813, 2544178 1189918, 2544916 1188670, 2543874 1187440, 2542540 1190345, 2542993 1190563, 2542740 1191188, 2542399 1191248))"
5556,Fiez,298,132,44.3,130,114,16,87.69,Fiez,2224,22,"MULTIPOLYGON (((2539236 1186498, 2538255 1185905, 2537958 1185955, 2537298 1185891, 2536663 1186314, 2537078 1186749, 2538333 1187175, 2538425 1187375, 2538950 1187378, 2539236 1186498)), ((2533230 1191982, 2533384 1191768, 2533513 1191883, 2534383 1191460, 2532213 1189725, 2532073 1189865, 2531391 1189435, 2531138 1189653, 2530523 1190129, 2531315 1191047, 2533230 1191982)))"
5557,Fontaines-sur-Grandson,141,41,29.08,41,32,9,78.05,Fontaines-sur-Grandson,2224,22,"POLYGON ((2538950 1187378, 2538425 1187375, 2538333 1187175, 2537078 1186749, 2536663 1186314, 2536358 1186288, 2536288 1187317, 2537285 1187618, 2537079 1188307, 2536635 1188203, 2536178 1188980, 2535595 1189472, 2535320 1190158, 2535020 1190233, 2534635 1190773, 2534808 1190983, 2534383 1191460, 2533513 1191883, 2533384 1191768, 2533230 1191982, 2535109 1192913, 2535355 1192180, 2535229 1192114, 2536089 1191668, 2536403 1191247, 2536387 1191030, 2535845 1190739, 2535741 1190280, 2535985 1189973, 2536293 1190048, 2536429 1189346, 2536713 1189128, 2536629 1188950, 2537313 1189213, 2537573 1187947, 2537771 1188032, 2538135 1187781, 2538808 1187930, 2538913 1187715, 2538950 1187378))"
5559,Giez,292,119,40.75,117,103,14,88.03,Giez,2224,22,"POLYGON ((2535745 1184225, 2535549 1184399, 2535728 1184564, 2535625 1185152, 2535840 1185356, 2535615 1185346, 2535362 1185808, 2535660 1185944, 2535562 1186108, 2535619 1186348, 2536358 1186288, 2536663 1186314, 2537298 1185891, 2537958 1185955, 2537930 1185823, 2538353 1185813, 2537828 1185258, 2537880 1184648, 2538123 1184368, 2537815 1184413, 2537509 1184128, 2537470 1183814, 2537228 1183730, 2537148 1184108, 2536664 1183936, 2536585 1184344, 2535818 1184070, 2535745 1184225))"
5560,Grandevent,165,79,47.88,78,73,5,93.59,Grandevent,2224,22,"POLYGON ((2534635 1190773, 2535020 1190233, 2535320 1190158, 2535595 1189472, 2536178 1188980, 2536635 1188203, 2537079 1188307, 2537285 1187618, 2536288 1187317, 2535835 1187275, 2535253 1188105, 2535568 1188498, 2534838 1188875, 2535219 1189355, 2534718 1189920, 2534423 1189753, 2534345 1189923, 2534293 1190155, 2534533 1190330, 2534635 1190773))"
5561,Grandson,2163,758,35.04,751,643,108,85.62,Grandson,2224,22,"POLYGON ((2539236 1186498, 2539745 1186625, 2540899 1186231, 2541255 1186315, 2541238 1186560, 2541532 1186789, 2542384 1186183, 2541895 1185785, 2540555 1185215, 2538885 1183855, 2538695 1183525, 2538745 1183055, 2538270 1182851, 2537689 1182977, 2537470 1183814, 2537509 1184128, 2537815 1184413, 2538123 1184368, 2537880 1184648, 2537828 1185258, 2538353 1185813, 2537930 1185823, 2537958 1185955, 2538255 1185905, 2539236 1186498))"
5562,Mauborget,89,60,67.42,59,43,16,72.88,Mauborget,2224,22,"POLYGON ((2535109 1192913, 2535909 1192837, 2536568 1193188, 2536439 1192724, 2536898 1192220, 2537075 1191523, 2536819 1191341, 2537000 1191046, 2537288 1190998, 2537959 1191381, 2538145 1190975, 2537670 1190778, 2538195 1189909, 2537573 1189578, 2537676 1189347, 2537313 1189213, 2536629 1188950, 2536713 1189128, 2536429 1189346, 2536293 1190048, 2535985 1189973, 2535741 1190280, 2535845 1190739, 2536387 1191030, 2536403 1191247, 2536089 1191668, 2535229 1192114, 2535355 1192180, 2535109 1192913))"
5563,Mutrux,111,39,35.14,38,35,3,92.11,Mutrux,2224,22,"POLYGON ((2546706 1192269, 2546463 1192300, 2545438 1191595, 2544265 1192663, 2543653 1192688, 2542958 1192400, 2542608 1192863, 2542766 1192961, 2543035 1192838, 2544885 1193285, 2546195 1193075, 2546599 1192843, 2546763 1192830, 2546706 1192269))"
5564,Novalles,73,34,46.58,34,25,9,73.53,Novalles,2224,22,"POLYGON ((2535619 1186348, 2535060 1186347, 2535175 1186539, 2534395 1187535, 2535253 1188105, 2535835 1187275, 2536288 1187317, 2536358 1186288, 2535619 1186348))"
5565,Onnens (VD),337,146,43.32,146,133,13,91.1,Onnens (VD),2224,22,"POLYGON ((2542399 1191248, 2542740 1191188, 2542993 1190563, 2542540 1190345, 2543874 1187440, 2542707 1186781, 2542195 1187404, 2542335 1187783, 2541824 1188454, 2542222 1188912, 2541783 1189640, 2541551 1190743, 2541911 1190865, 2541815 1191199, 2542399 1191248))"
5566,Provence,287,110,38.33,108,76,32,70.37,Provence,2224,22,"POLYGON ((2545345 1198590, 2545360 1198157, 2545537 1198030, 2545064 1196341, 2545000 1195250, 2545326 1195173, 2546767 1193982, 2546599 1192843, 2546195 1193075, 2544885 1193285, 2543035 1192838, 2542766 1192961, 2542608 1192863, 2542958 1192400, 2542010 1191980, 2541608 1192038, 2540940 1191620, 2540538 1191579, 2539558 1192112, 2538393 1193709, 2539574 1195318, 2539707 1195806, 2541334 1196868, 2545345 1198590))"
5568,Sainte-Croix,3219,1161,36.07,1147,987,160,86.05,Sainte-Croix,2224,22,"POLYGON ((2530543 1184395, 2528419 1183910, 2525853 1182598, 2525528 1182785, 2524043 1184793, 2523359.057500001 1183922.6499999985, 2523096.460000001 1185069.871199999, 2523841.0837000012 1185497.9886999987, 2523770.191300001 1186372.5813000016, 2524002.423799999 1187231.8049999997, 2525365.1849999987 1189401.8249999993, 2525773 1189312, 2525853 1188977, 2527045 1188823, 2530523 1190129, 2531138 1189653, 2530413 1188891, 2530095 1187680, 2530854 1187195, 2530943 1186348, 2531682 1185476, 2532674 1185735, 2532478 1184958, 2531902 1184525, 2530543 1184395))"
5571,Tévenon,587,240,40.89,238,204,34,85.71,Tévenon,2224,22,"POLYGON ((2537313 1189213, 2537676 1189347, 2537573 1189578, 2538195 1189909, 2537670 1190778, 2538145 1190975, 2537959 1191381, 2537288 1190998, 2537000 1191046, 2536819 1191341, 2537075 1191523, 2536898 1192220, 2536439 1192724, 2536568 1193188, 2537201 1193422, 2538149 1193387, 2538393 1193709, 2539558 1192112, 2540538 1191579, 2539698 1191528, 2539680 1191400, 2540210 1191333, 2540344 1190475, 2540910 1190720, 2540577 1189900, 2540720 1189110, 2540506 1189124, 2540350 1188658, 2540029 1188429, 2539910 1188789, 2539073 1188690, 2539085 1188007, 2538913 1187715, 2538808 1187930, 2538135 1187781, 2537771 1188032, 2537573 1187947, 2537313 1189213))"
5741,L'Abergement,185,94,50.81,94,88,6,93.62,L'Abergement,2224,22,"POLYGON ((2524622.0874999985 1180787.7487000003, 2524828 1180073, 2524643 1179776, 2524740 1179599, 2525820 1179993, 2526257 1179386, 2526882 1179817, 2528269 1179068, 2527637 1177367, 2527181 1177506, 2527163 1177675, 2526550 1177650, 2526325 1177589, 2526438 1177838, 2525504 1178877, 2524745 1179388, 2524200 1179398, 2523634.538800001 1179953.7188000008, 2524622.0874999985 1180787.7487000003))"
5742,Agiez,222,98,44.14,98,80,18,81.63,Agiez,2224,22,"POLYGON ((2527423 1175668, 2527817 1175681, 2528545 1175415, 2528965 1175545, 2529445 1175385, 2529885 1175595, 2529950 1175423, 2530210 1175463, 2529873 1173403, 2530120 1173178, 2529595 1173280, 2529548 1173044, 2529173 1172971, 2529048 1172905, 2529102 1173433, 2528139 1173712, 2528164 1173923, 2527559 1174058, 2527710 1174353, 2527355 1174425, 2527108 1174955, 2527423 1175668))"
5743,Arnex-sur-Orbe,447,197,44.07,193,153,40,79.27,Arnex-sur-Orbe,2224,22,"POLYGON ((2531960 1172021, 2532004 1171271, 2531137 1171529, 2531103 1171200, 2530025 1171140, 2529469 1170226, 2528821 1169895, 2528805 1170043, 2528640 1169403, 2528390 1169673, 2528042 1169120, 2527755 1169165, 2527252.1099999994 1169432.0036999993, 2527420 1170000, 2528087 1169951, 2528133 1170905, 2528490 1171717, 2528267 1171906, 2528532 1171960, 2528508 1172245, 2528841 1172337, 2529173 1172971, 2529548 1173044, 2529595 1173280, 2530120 1173178, 2531205 1172203, 2531960 1172021))"
5744,Ballaigues,711,255,35.86,253,227,26,89.72,Ballaigues,2224,22,"POLYGON ((2521952.9037999995 1178462.6325000003, 2522201 1177270, 2522913 1176918, 2523388 1175787, 2522891 1175199, 2521225 1174665, 2520925 1175075, 2520401 1175140, 2519965 1175925, 2519503.232500002 1176198.5425000004, 2519980.454999998 1176863.878800001, 2519748.3387 1177429.432500001, 2520216.4800000004 1177941.4274999984, 2520692.682500001 1178248.951200001, 2520965.4387000017 1178169.8537999988, 2521952.9037999995 1178462.6325000003))"
5745,Baulmes,701,265,37.8,264,233,31,88.26,Baulmes,2224,22,"POLYGON ((2524828 1180073, 2524622.0874999985 1180787.7487000003, 2524635.727499999 1181297.3775000013, 2525157.594999999 1182373.5199999996, 2523359.057500001 1183922.6499999985, 2524043 1184793, 2525528 1182785, 2525853 1182598, 2528419 1183910, 2530543 1184395, 2530690 1183990, 2531515 1183675, 2532221 1182758, 2532160 1182033, 2531403 1181268, 2531107 1181206, 2530929 1180851, 2530510 1180826, 2530179 1180511, 2530251 1180243, 2529819 1180522, 2529677 1180301, 2529433 1180465, 2529098 1180013, 2526386 1181023, 2525520 1180540, 2525144 1180646, 2524828 1180073))"
5746,Bavois,619,229,37,226,194,32,85.84,Bavois,2224,22,"POLYGON ((2531960 1172021, 2532100 1172405, 2533400 1172054, 2533448 1172242, 2534415 1171165, 2534698 1170393, 2534769 1170190, 2534887 1169494, 2534490 1168916, 2534495 1168405, 2534298 1168436, 2534253 1168225, 2533936 1168196, 2533883 1167780, 2533555 1168257, 2532988 1168718, 2532775 1168573, 2532656 1168602, 2532448 1168463, 2531980 1168614, 2532184 1169170, 2532040 1169245, 2532012 1170560, 2532004 1171271, 2531960 1172021))"
5747,Bofflens,150,79,52.67,78,58,20,74.36,Bofflens,2224,22,"POLYGON ((2526943 1172278, 2526989 1172502, 2526582 1172895, 2526530 1173331, 2526800 1173236, 2526916 1173921, 2527278 1174128, 2527355 1174425, 2527710 1174353, 2527559 1174058, 2528164 1173923, 2528139 1173712, 2529102 1173433, 2529048 1172905, 2529173 1172971, 2528841 1172337, 2528508 1172245, 2528532 1171960, 2528267 1171906, 2528490 1171717, 2528133 1170905, 2527930 1171788, 2527528 1171843, 2527663 1172205, 2526943 1172278))"
5748,Bretonnières,185,98,52.97,97,79,18,81.44,Bretonnières,2224,22,"POLYGON ((2527423 1175668, 2527108 1174955, 2527355 1174425, 2527278 1174128, 2526916 1173921, 2526800 1173236, 2526530 1173331, 2526582 1172895, 2525553 1172708, 2525220 1173397, 2525332 1173923, 2525023 1173880, 2524865 1174508, 2524398 1174615, 2524520 1175353, 2525615 1175438, 2526251 1175073, 2526161 1175552, 2527075 1175355, 2527423 1175668))"
5749,Chavornay,2936,993,33.82,984,869,115,88.31,Chavornay,2224,22,"POLYGON ((2531960 1172021, 2531205 1172203, 2531415 1173755, 2532143.4437999986 1174580.3324999996, 2532555 1174405, 2534195 1177123, 2535243 1176399, 2535435 1176473, 2534758 1175355, 2534903 1174800, 2534664 1174559, 2535379 1173889, 2535686 1174085, 2536240 1173880, 2536203 1173723, 2536460 1173813, 2536508 1172925, 2536937 1172843, 2537283 1173108, 2537553 1173097, 2537368 1172603, 2537665 1172359, 2538324 1172488, 2538068 1171355, 2537869 1171338, 2537875 1171828, 2537705.0001000017 1171918, 2537245 1171795, 2537163 1171540, 2536725 1171613, 2536336 1171268, 2535689 1171407, 2535284 1171289, 2535048 1171572, 2534805 1171368, 2534988 1170700, 2534698 1170393, 2534415 1171165, 2533448 1172242, 2533400 1172054, 2532100 1172405, 2531960 1172021))"
5750,Les Clées,131,55,41.98,53,47,6,88.68,Les Clées,2224,22,"POLYGON ((2528393 1177138, 2528487 1176815, 2527982 1176200, 2527817 1175681, 2527423 1175668, 2527075 1175355, 2526161 1175552, 2526251 1175073, 2525615 1175438, 2524520 1175353, 2523889 1175487, 2523418 1174927, 2523261 1174812, 2522891 1175199, 2523388 1175787, 2523901 1175961, 2524250 1176488, 2525189 1176587, 2526095 1176296, 2526437 1176804, 2526550 1177650, 2527163 1177675, 2527181 1177506, 2527637 1177367, 2528214 1177586, 2528393 1177138))"
5752,Croy,293,119,40.61,118,105,13,88.98,Croy,2224,22,"MULTIPOLYGON (((2526229 1169588, 2525780 1169168, 2525486 1169295, 2525401 1169323, 2525387 1169780, 2526229 1169588)), ((2528133 1170905, 2528087 1169951, 2527420 1170000, 2527252.1099999994 1169432.0036999993, 2526995 1169615, 2526273 1170084, 2526072 1170730, 2526375 1171431, 2526260 1171737, 2525929 1171751, 2526943 1172278, 2527663 1172205, 2527528 1171843, 2527930 1171788, 2528133 1170905)))"
5754,Juriens,244,95,38.93,93,69,24,74.19,Juriens,2224,22,"POLYGON ((2523836 1168327, 2523800 1168771, 2523630 1168873, 2523793 1169428, 2523555 1169802, 2522318 1170451, 2521686 1170286, 2520336 1169515, 2519786 1169413, 2520000 1170162, 2520348 1170597, 2520294 1170930, 2520678 1171489, 2521801 1171561, 2522538 1171857, 2522550 1172095, 2523094 1172023, 2523300 1171814, 2523634 1171996, 2524543 1171896, 2524876 1171611, 2524746 1171381, 2524919 1170721, 2525060 1170987, 2525379 1170757, 2525297 1170490, 2525144 1170524, 2524868 1170336, 2525208 1170461, 2525161 1170250, 2525364 1170108, 2525189 1169701, 2524926 1170077, 2524196 1169289, 2524063 1168349, 2523836 1168327))"
